date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,new_vaccinations,stringency_index
25/02/2020,2,2,0,0,0,0,0,0,0,0,0,19.44
26/02/2020,2,0,0,0,0,0,0,0,0,0,0,19.44
27/02/2020,2,0,0,0,0,0,0,0,0,0,0,28.7
28/02/2020,4,2,0,0,0,0,0,0,0,0,0,28.7
29/02/2020,4,0,0,0,0,0,0,0,0,0,0,28.7
01/03/2020,4,0,0,0,0,0,0,0,0,0,0,28.7
02/03/2020,5,1,0,0,0,0,0,0,0,0,0,28.7
03/03/2020,5,0,0,0,0,0,0,0,0,0,0,28.7
04/03/2020,5,0,0,0,0,0,0,0,0,0,0,28.7
05/03/2020,6,1,0,0,0,0,0,0,0,0,0,28.7
06/03/2020,6,0,0,0,0,0,0,0,0,0,0,28.7
07/03/2020,6,0,0,0,0,0,0,0,0,0,0,28.7
08/03/2020,6,0,0,0,0,0,0,0,0,0,0,28.7
09/03/2020,16,10,0,0,0,0,0,0,0,0,0,28.7
10/03/2020,19,3,0,0,0,0,0,0,0,0,0,28.7
11/03/2020,20,1,0,0,0,471,0,0,0,0,0,28.7
12/03/2020,28,8,0,0,0,531,60,0,0,0,0,28.7
13/03/2020,31,3,0,0,0,609,78,0,0,0,0,52.78
14/03/2020,53,22,0,0,0,684,75,0,0,0,0,52.78
15/03/2020,136,83,0,0,0,833,149,0,0,0,0,52.78
16/03/2020,236,100,0,0,2.65,1125,292,0,0,0,0,52.78
17/03/2020,299,63,0,0,2.56,1141,16,0,0,0,0,52.78
18/03/2020,454,155,2,2,2.48,2163,1022,0.2562,3.9,0,0,52.78
19/03/2020,501,47,3,1,2.34,3410,1247,0.1644,6.1,0,0,52.78
20/03/2020,730,229,3,0,2.25,4001,591,0.2059,4.9,0,0,52.78
21/03/2020,776,46,5,2,2.07,5225,1224,0.1591,6.3,0,0,55.56
22/03/2020,875,99,6,1,1.94,5444,219,0.1602,6.2,0,0,55.56
23/03/2020,972,97,7,1,1.83,5857,413,0.1555,6.4,0,0,85.19
24/03/2020,1063,91,8,1,1.77,6123,266,0.1533,6.5,0,0,93.52
25/03/2020,1201,138,9,1,1.72,6449,326,0.1744,5.7,0,0,93.52
26/03/2020,1373,172,11,2,1.69,7835,1386,0.1971,5.1,0,0,96.3
27/03/2020,1495,122,12,1,1.64,13231,5396,0.0829,12.1,0,0,96.3
28/03/2020,1597,102,14,2,1.62,14336,1105,0.0901,11.1,0,0,96.3
29/03/2020,1717,120,21,7,1.61,14748,412,0.0905,11,0,0,96.3
30/03/2020,1938,221,26,5,1.62,15683,935,0.0983,10.2,0,0,96.3
31/03/2020,2118,180,27,1,1.63,15967,284,0.1072,9.3,0,0,96.3
01/04/2020,2421,303,34,7,1.63,17324,1357,0.1122,8.9,0,0,96.3
02/04/2020,2686,265,40,6,1.62,30308,12984,0.0584,17.1,0,0,96.3
03/04/2020,2818,132,41,1,1.59,32930,2622,0.0672,14.9,0,0,96.3
04/04/2020,3157,339,47,6,1.6,34885,1955,0.0759,13.2,0,0,96.3
05/04/2020,3766,609,53,6,1.58,35875,990,0.097,10.3,0,0,96.3
06/04/2020,4035,269,57,4,1.48,39183,3308,0.0892,11.2,0,0,96.3
07/04/2020,4263,228,61,4,1.41,42159,2976,0.0819,12.2,0,0,96.3
08/04/2020,4489,226,65,4,1.36,44896,2737,0.075,13.3,0,0,96.3
09/04/2020,4695,206,66,1,1.35,54706,9810,0.0824,12.1,0,0,96.3
10/04/2020,5011,316,86,20,1.35,57836,3130,0.0881,11.4,0,0,96.3
11/04/2020,5230,219,91,5,1.35,61801,3965,0.077,13,0,0,96.3
12/04/2020,5496,266,93,2,1.37,65114,3313,0.0592,16.9,0,0,96.3
13/04/2020,5837,341,96,3,1.39,69928,4814,0.0586,17.1,0,0,96.3
14/04/2020,6383,546,111,15,1.43,73439,3511,0.0678,14.8,0,0,96.3
15/04/2020,6919,536,128,17,1.44,78979,5540,0.0713,14,0,0,92.59
16/04/2020,7025,106,135,7,1.44,84704,5725,0.0777,12.9,0,0,92.59
17/04/2020,7638,613,143,8,1.48,92548,7844,0.0757,13.2,0,0,92.59
18/04/2020,8348,710,168,25,1.5,98522,5974,0.0849,11.8,0,0,92.59
19/04/2020,8418,70,176,8,1.5,104302,5780,0.0746,13.4,0,0,92.59
20/04/2020,9565,1147,201,25,1.54,,,0.0978,10.2,0,0,92.59
21/04/2020,10076,511,212,11,1.51,111806,,0.0963,10.4,0,0,92.59
22/04/2020,11155,1079,237,25,1.5,118020,6214,0.1085,9.2,0,0,92.59
23/04/2020,11940,785,253,16,1.47,124549,6529,0.1234,8.1,0,0,92.59
24/04/2020,12723,783,269,16,1.43,131365,6816,0.131,7.6,0,0,89.81
25/04/2020,13328,605,281,12,1.4,138147,6782,0.1257,8,0,0,89.81
26/04/2020,13915,587,292,11,1.39,144365,6218,0.1372,7.3,0,0,89.81
27/04/2020,14612,697,312,20,1.38,150756,6391,0.1182,8.5,0,0,89.81
28/04/2020,15525,913,343,31,1.4,157223,6467,0.12,8.3,0,0,89.81
29/04/2020,16817,1292,385,42,1.41,165911,8688,0.1182,8.5,0,0,89.81
30/04/2020,18114,1297,417,32,1.4,174160,8249,0.1245,8,0,0,89.81
01/05/2020,19103,989,440,23,1.38,182131,7971,0.1257,8,0,0,89.81
02/05/2020,20084,981,457,17,1.37,193859,11728,0.1213,8.2,0,0,89.81
03/05/2020,20941,857,476,19,1.36,203025,9166,0.1198,8.3,0,0,89.81
04/05/2020,22049,1108,514,38,1.37,212511,9486,0.1204,8.3,0,0,89.81
05/05/2020,24073,2024,564,50,1.38,222404,9893,0.1311,7.6,0,0,89.81
06/05/2020,24644,571,585,21,1.36,232582,10178,0.1174,8.5,0,0,89.81
07/05/2020,26435,1791,599,14,1.37,244778,12196,0.1178,8.5,0,0,89.81
08/05/2020,28736,2301,636,37,1.38,257247,12469,0.1282,7.8,0,0,89.81
09/05/2020,30334,1598,659,23,1.34,270025,12778,0.1346,7.4,0,0,89.81
10/05/2020,32081,1747,706,47,1.3,283517,13492,0.1384,7.2,0,0,89.81
11/05/2020,34336,2255,737,31,1.26,294894,11377,0.1491,6.7,0,0,89.81
12/05/2020,35298,962,761,24,1.21,305851,10957,0.1345,7.4,0,0,89.81
13/05/2020,35788,490,770,9,1.19,317699,11848,0.1309,7.6,0,0,89.81
14/05/2020,38799,3011,834,64,1.2,330750,13051,0.1438,7,0,0,89.81
15/05/2020,38799,0,834,0,1.17,344450,13700,0.1154,8.7,0,0,89.81
16/05/2020,40151,1352,873,39,1.19,359264,14814,0.11,9.1,0,0,78.7
17/05/2020,42125,1974,903,30,1.21,373410,14146,0.1117,9,0,0,85.19
18/05/2020,43966,1841,939,36,1.22,387335,13925,0.1042,9.6,0,0,85.19
19/05/2020,45898,1932,985,46,1.23,400292,12957,0.1122,8.9,0,0,85.19
20/05/2020,48091,2193,1017,32,1.24,414254,13962,0.1274,7.8,0,0,85.19
21/05/2020,50694,2603,1067,50,1.23,429600,15346,0.1203,8.3,0,0,82.41
22/05/2020,52437,1743,1101,34,1.22,445987,16387,0.1343,7.4,0,0,82.41
23/05/2020,54601,2164,1133,32,1.21,460692,14705,0.1425,7,0,0,82.41
24/05/2020,56349,1748,1167,34,1.2,473607,12915,0.142,7,0,0,82.41
25/05/2020,57705,1356,1197,30,1.2,483656,10049,0.1426,7,0,0,82.41
26/05/2020,59151,1446,1225,28,1.22,490908,7252,0.1463,6.8,0,0,82.41
27/05/2020,61227,2076,1260,35,1.26,499399,8491,0.1543,6.5,0,0,82.41
28/05/2020,64028,2801,1317,57,1.3,508086,8687,0.1699,5.9,0,0,82.41
29/05/2020,66457,2429,1395,78,1.34,520017,11931,0.1894,5.3,0,0,82.41
30/05/2020,69496,3039,1483,88,1.37,532037,12020,0.2088,4.8,0,0,82.41
31/05/2020,72460,2964,1543,60,1.39,547030,14993,0.2194,4.6,0,0,82.41
01/06/2020,76398,3938,1621,78,1.41,561136,14106,0.2413,4.1,0,0,82.41
02/06/2020,80463,4065,1688,67,1.42,577974,16838,0.2448,4.1,0,0,82.41
03/06/2020,85264,4801,1770,82,1.42,595344,17370,0.2505,4,0,0,82.41
04/06/2020,89249,3985,1838,68,1.4,615511,20167,0.2348,4.3,0,0,69.44
05/06/2020,93983,4734,1935,97,1.4,638323,22812,0.2327,4.3,0,0,69.44
06/06/2020,98943,4960,2002,67,1.37,660508,22185,0.2292,4.4,0,0,69.44
07/06/2020,103671,4728,2067,65,1.35,683608,23100,0.2285,4.4,0,0,61.11
08/06/2020,108317,4646,2172,105,1.33,705833,22225,0.2206,4.5,0,0,61.11
09/06/2020,113702,5385,2255,83,1.31,730453,24620,0.218,4.6,0,0,61.11
10/06/2020,119536,5834,2356,101,1.29,754252,23799,0.2157,4.6,0,0,61.11
11/06/2020,125933,6397,2463,107,1.27,780825,26573,0.2219,4.5,0,0,61.11
12/06/2020,125933,0,2463,0,1.24,809169,28344,0.187,5.3,0,0,61.11
13/06/2020,132405,6472,2551,88,1.26,839019,29850,0.1874,5.3,0,0,61.11
14/06/2020,144478,12073,2729,178,1.26,868565,29546,0.2206,4.5,0,0,61.11
15/06/2020,148921,4443,2839,110,1.2,897650,29085,0.2117,4.7,0,0,61.11
16/06/2020,154760,5839,2975,136,1.15,922665,25015,0.2136,4.7,0,0,61.11
17/06/2020,160118,5358,3093,118,1.1,950782,28117,0.2065,4.8,0,0,61.11
18/06/2020,165062,4944,3229,136,1.07,982012,31230,0.1945,5.1,0,0,61.11
19/06/2020,171666,6604,3382,153,1.04,1011106,29094,0.2265,4.4,0,0,61.11
20/06/2020,176617,4951,3501,119,0.99,1042787,31681,0.217,4.6,0,0,58.33
21/06/2020,181088,4471,3590,89,0.95,1071642,28855,0.1803,5.5,0,0,58.33
22/06/2020,185034,3946,3695,105,0.92,1102162,30520,0.1766,5.7,0,0,60.19
23/06/2020,188926,3892,3755,60,0.89,1126761,24599,0.1674,6,0,0,60.19
24/06/2020,192970,4044,3903,148,0.87,1150141,23380,0.1648,6.1,0,0,60.19
25/06/2020,195745,2775,3962,59,0.86,1171976,21835,0.1615,6.2,0,0,60.19
26/06/2020,198883,3138,4035,73,0.86,1193017,21041,0.1496,6.7,0,0,60.19
27/06/2020,202955,4072,4118,83,0.86,1214140,21123,0.1537,6.5,0,0,60.19
28/06/2020,206512,3557,4167,49,0.86,1239153,25013,0.1518,6.6,0,0,60.19
29/06/2020,209337,2825,4304,137,0.86,1262162,23009,0.1519,6.6,0,0,60.19
30/06/2020,213470,4133,4395,91,0.87,1283092,20930,0.157,6.4,0,0,60.19
01/07/2020,217809,4339,4473,78,0.87,1305510,22418,0.1599,6.3,0,0,60.19
02/07/2020,221896,4087,4551,78,0.86,1327638,22128,0.168,6,0,0,66.67
03/07/2020,221896,0,4551,0,0.85,1350773,23135,0.1459,6.9,0,0,66.67
04/07/2020,225283,3387,4619,68,0.87,1372825,22052,0.1407,7.1,0,0,66.67
05/07/2020,231818,6535,4762,143,0.89,1398352,25527,0.159,6.3,0,0,66.67
06/07/2020,234509,2691,4839,77,0.87,1420623,22271,0.1589,6.3,0,0,66.67
07/07/2020,237489,2980,4922,83,0.85,1445153,24530,0.1482,6.7,0,0,66.67
08/07/2020,240848,3359,4983,61,0.84,1467104,21951,0.1426,7,0,0,66.67
09/07/2020,243599,2751,5058,75,0.82,1491437,24333,0.1325,7.5,0,0,66.67
10/07/2020,246351,2752,5123,65,0.8,1514858,23421,0.149,6.7,0,0,66.67
11/07/2020,248872,2521,5197,74,0.79,1538427,23569,0.1424,7,0,0,66.67
12/07/2020,251625,2753,5266,69,0.77,1562638,24211,0.1206,8.3,0,0,66.67
13/07/2020,253604,1979,5320,54,0.76,1585170,22532,0.116,8.6,0,0,66.67
14/07/2020,255769,2165,5386,66,0.74,1606190,21020,0.1135,8.8,0,0,66.67
15/07/2020,257914,2145,5426,40,0.73,1627939,21749,0.1061,9.4,0,0,66.67
16/07/2020,257914,0,5426,0,0.72,1652183,24244,0.0891,11.2,0,0,66.67
17/07/2020,261917,4003,5522,96,0.74,1676090,23907,0.0965,10.4,0,0,66.67
18/07/2020,263496,1579,5568,46,0.72,1699101,23011,0.091,11,0,0,66.67
19/07/2020,265083,1587,5599,31,0.7,1721660,22559,0.0846,11.8,0,0,66.67
20/07/2020,266096,1013,5639,40,0.69,1740768,19108,0.0803,12.5,0,0,66.67
21/07/2020,267428,1332,5677,38,0.68,1758551,17783,0.0765,13.1,0,0,66.67
22/07/2020,269191,1763,5709,32,0.68,1776882,18331,0.0757,13.2,0,0,66.67
23/07/2020,270400,1209,5763,54,0.67,1799290,22408,0.0849,11.8,0,0,66.67
24/07/2020,271887,1487,5787,24,0.66,1821296,22006,0.0687,14.6,0,0,66.67
25/07/2020,273113,1226,5822,35,0.65,1844926,23630,0.0659,15.2,0,0,66.67
26/07/2020,273113,0,5822,0,0.63,1868180,23254,0.0548,18.2,0,0,66.67
27/07/2020,274289,1176,5842,20,0.65,1909846,41666,0.0485,20.6,0,0,66.67
28/07/2020,275225,936,5865,23,0.66,1931102,21256,0.0452,22.1,0,0,66.67
29/07/2020,276288,1063,5892,27,0.67,1952730,21628,0.0404,24.8,0,0,66.67
30/07/2020,277402,1114,5924,32,0.67,1973237,20507,0.0403,24.8,0,0,66.67
31/07/2020,278305,903,5951,27,0.67,,,0.0377,26.6,0,0,66.67
01/08/2020,278305,0,5951,0,0.67,2010170,,0.0314,31.8,0,0,66.67
02/08/2020,279699,1394,5976,25,0.69,2021196,11026,0.043,23.2,0,0,66.67
03/08/2020,280461,762,5999,23,0.69,2031955,10759,0.0505,19.8,0,0,66.67
04/08/2020,280461,0,5999,0,0.69,2043870,11915,0.0464,21.5,0,0,66.67
05/08/2020,281136,675,6014,15,0.71,,,0.0491,20.3,0,0,66.67
06/08/2020,281863,727,6035,21,0.74,2058872,,0.0521,19.2,0,0,66.67
07/08/2020,282645,782,6052,17,0.77,2079333,20461,0.0495,20.2,0,0,66.67
08/08/2020,283487,842,6068,16,0.79,2103699,24366,0.0554,18,0,0,66.67
09/08/2020,284121,634,6082,14,0.79,2127089,23390,0.0418,23.9,0,0,66.67
10/08/2020,284660,539,6097,15,0.81,2147584,20495,0.0363,27.5,0,0,47.69
11/08/2020,285191,531,6112,15,0.82,2165811,18227,0.0388,25.8,0,0,47.69
12/08/2020,285921,730,6129,17,0.84,2186442,20631,0.0354,28.2,0,0,47.69
13/08/2020,286674,753,6139,10,0.85,2205664,19222,0.0328,30.5,0,0,47.69
14/08/2020,287300,626,6153,14,0.86,2229409,23745,0.031,32.2,0,0,47.69
15/08/2020,288047,747,6162,9,0.88,2253131,23722,0.0305,32.8,0,0,47.69
16/08/2020,289215,1168,6175,13,0.87,2277153,24022,0.0339,29.5,0,0,47.69
17/08/2020,289215,0,6175,0,0.85,2299601,22448,0.03,33.4,0,0,47.69
18/08/2020,289832,617,6190,15,0.86,2317213,17612,0.0307,32.6,0,0,47.69
19/08/2020,290445,613,6201,11,0.85,2340072,22859,0.0294,34,0,0,47.69
20/08/2020,290958,513,6209,8,0.86,2363752,23680,0.0271,36.9,0,0,47.69
21/08/2020,291588,630,6219,10,0.86,2389365,25613,0.0268,37.3,0,0,47.69
22/08/2020,292174,586,6231,12,0.87,2414902,25537,0.0255,39.2,0,0,47.69
23/08/2020,293261,1087,6244,13,0.86,2439858,24956,0.0249,40.2,0,0,47.69
24/08/2020,293261,0,6244,0,0.83,2463513,23655,0.0247,40.5,0,0,47.69
25/08/2020,293711,450,6255,11,0.82,2487744,24231,0.0227,44,0,0,47.69
26/08/2020,294193,482,6267,12,0.82,2512337,24593,0.0218,46,0,0,47.69
27/08/2020,294638,445,6274,7,0.82,2535778,23441,0.0214,46.7,0,0,47.69
28/08/2020,295053,415,6283,9,0.82,2559261,23483,0.0204,49,0,0,47.69
29/08/2020,295372,319,6284,1,0.83,2581695,22434,0.0192,52.2,0,0,47.69
30/08/2020,295636,264,6288,4,0.84,2603129,21434,0.0145,68.7,0,0,47.69
31/08/2020,295849,213,6294,6,0.88,2621146,18017,0.0164,60.9,0,0,47.69
01/09/2020,296149,300,6298,4,0.92,2642068,20922,0.0158,63.3,0,0,47.69
02/09/2020,297014,865,6328,30,0.97,2662508,20440,0.0188,53.2,0,0,47.69
03/09/2020,297512,498,6335,7,0.97,2684252,21744,0.0194,51.7,0,0,47.69
04/09/2020,298025,513,6340,5,0.98,2707470,23218,0.0201,49.9,0,0,47.69
05/09/2020,298025,0,6340,0,0.98,2732325,24855,0.0176,56.8,0,0,47.69
06/09/2020,298903,878,6345,5,1.01,2757709,25384,0.0211,47.3,0,0,47.69
07/09/2020,299233,330,6350,5,1.01,2778689,20980,0.0215,46.6,0,0,47.69
08/09/2020,299659,426,6359,9,1.01,2802210,23521,0.0219,45.6,0,0,47.69
09/09/2020,300030,371,6365,6,1.02,2825040,22830,0.0186,53.9,0,0,47.69
10/09/2020,300371,341,6370,5,1.03,2850121,25081,0.0172,58,0,0,47.69
11/09/2020,300955,584,6373,3,1.07,2879655,29534,0.017,58.8,0,0,47.69
12/09/2020,301481,526,6379,6,1.09,2908379,28724,0.0196,50.9,0,0,47.69
13/09/2020,302020,539,6383,4,1.1,2939790,31411,0.0171,58.4,0,0,47.69
14/09/2020,302424,404,6389,6,1.12,2968613,28823,0.0168,59.5,0,0,47.69
15/09/2020,303089,665,6393,4,1.13,2995890,27277,0.0177,56.5,0,0,43.98
16/09/2020,303634,545,6399,6,1.14,3024987,29097,0.018,55.5,0,0,43.98
17/09/2020,304386,752,6408,9,1.15,3056795,31808,0.0194,51.5,0,0,41.2
18/09/2020,305031,645,6415,7,1.14,3090660,33865,0.0193,51.8,0,0,41.2
19/09/2020,305671,640,6416,1,1.14,3126380,35720,0.0192,52,0,0,41.2
20/09/2020,306304,633,6420,4,1.13,3160924,34544,0.0194,51.6,0,0,41.2
21/09/2020,306886,582,6424,4,1.12,3194317,33393,0.0198,50.6,0,0,41.2
22/09/2020,307418,532,6432,8,1.11,3230472,36155,0.0185,54.2,0,0,41.2
23/09/2020,308217,799,6437,5,1.11,3264216,33744,0.0192,52.2,0,0,41.2
24/09/2020,309015,798,6444,7,1.1,3306515,42299,0.0185,53.9,0,0,41.2
25/09/2020,309581,566,6451,7,1.08,3344019,37504,0.018,55.7,0,0,41.2
26/09/2020,310275,694,6457,6,1.07,3384186,40167,0.0179,56,0,0,41.2
27/09/2020,310841,566,6466,9,1.06,3420654,36468,0.0175,57.2,0,0,41.2
28/09/2020,311516,675,6474,8,1.05,3449541,28887,0.0181,55.1,0,0,41.2
29/09/2020,312263,747,6479,5,1.03,3482206,32665,0.0192,52,0,0,41.2
30/09/2020,312806,543,6484,5,1.01,3514237,32031,0.0184,54.5,0,0,39.35
01/10/2020,313431,625,6499,15,1,3548476,34239,0.0183,54.8,0,0,67.13
02/10/2020,313984,553,6507,8,1,3580173,31697,0.0186,53.6,0,0,67.13
03/10/2020,314616,632,6513,6,1,3615244,35071,0.0188,53.2,0,0,67.13
04/10/2020,314616,0,6513,0,1,3644762,29518,0.0168,59.4,0,0,67.13
05/10/2020,315727,1111,6523,10,1.04,3678534,33772,0.0184,54.4,0,0,67.13
06/10/2020,316351,624,6535,12,1.03,3702607,24073,0.0185,53.9,0,0,67.13
07/10/2020,316934,583,6544,9,1.02,3730221,27614,0.0191,52.3,0,0,67.13
08/10/2020,317595,661,6552,8,1.02,3761389,31168,0.0196,51.1,0,0,67.13
09/10/2020,318266,671,6558,6,1.02,3795287,33898,0.0199,50.2,0,0,67.13
10/10/2020,318932,666,6570,12,1.01,3828952,33665,0.0202,49.5,0,0,67.13
11/10/2020,319317,385,6580,10,1.01,3857845,28893,0.0221,45.3,0,0,67.13
12/10/2020,319848,531,6588,8,1.01,3884796,26951,0.02,50.1,0,0,67.13
13/10/2020,320463,615,6601,13,1.02,3914818,30022,0.0194,51.6,0,0,67.13
14/10/2020,321218,755,6614,13,1.03,3943734,28916,0.0201,49.8,0,0,67.13
15/10/2020,321877,659,6621,7,1.03,3975596,31862,0.02,50,0,0,67.13
16/10/2020,322452,575,6638,17,1.03,4009497,33901,0.0195,51.2,0,0,53.24
17/10/2020,323019,567,6654,16,1.04,4041962,32465,0.0192,52.1,0,0,53.24
18/10/2020,323452,433,6659,5,1.05,4074024,32062,0.0191,52.3,0,0,53.24
19/10/2020,324034,582,6673,14,1.08,4101115,27091,0.0194,51.7,0,0,53.24
20/10/2020,324744,710,6692,19,1.1,4122069,20954,0.0207,48.4,0,0,53.24
21/10/2020,325480,736,6702,10,1.12,4148739,26670,0.0208,48.1,0,0,53.24
22/10/2020,326216,736,6715,13,1.14,4177270,28531,0.0215,46.5,0,0,53.24
23/10/2020,327063,847,6727,12,1.16,4204320,27050,0.0237,42.3,0,0,53.24
24/10/2020,327895,832,6736,9,1.17,4235329,31009,0.0252,39.7,0,0,53.24
25/10/2020,328602,707,6739,3,1.18,4264053,28724,0.0271,36.9,0,0,53.24
26/10/2020,329375,773,6745,6,1.19,4290545,26492,0.0282,35.5,0,0,53.24
27/10/2020,330200,825,6759,14,1.2,4317678,27133,0.0279,35.9,0,0,53.24
28/10/2020,331108,908,6775,16,1.22,4347155,29477,0.0284,35.3,0,0,53.24
29/10/2020,332186,1078,6795,20,1.24,4376604,29449,0.03,33.4,0,0,53.24
30/10/2020,332993,807,6806,11,1.25,4409537,32933,0.0289,34.6,0,0,53.24
31/10/2020,333970,977,6823,17,1.27,4431225,21688,0.031,32.2,0,0,53.24
01/11/2020,335093,1123,6835,12,1.29,4458890,27665,0.0333,30,0,0,53.24
02/11/2020,336260,1167,6849,14,1.3,4486843,27953,0.0351,28.5,0,0,53.24
03/11/2020,337573,1313,6867,18,1.31,4514827,27984,0.0374,26.7,0,0,53.24
04/11/2020,338875,1302,6893,26,1.32,4541392,26565,0.04,25,0,0,53.24
05/11/2020,340251,1376,6923,30,1.32,4573768,32376,0.0409,24.4,0,0,53.24
06/11/2020,341753,1502,6943,20,1.33,4609513,35745,0.0438,22.8,0,0,53.24
07/11/2020,343189,1436,6968,25,1.34,4643913,34400,0.0433,23.1,0,0,53.24
